trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
3376,08:23:00,08:23:00,39133,15,0,0,5.7977
3376,08:24:00,08:24:00,39131,16,0,0,5.8951
3376,08:26:00,08:26:00,39130,17,0,0,6.0600
3377,08:15:00,08:15:00,38065,1,0,0,0.0000
3377,08:17:00,08:17:00,38064,2,0,0,0.4006
3377,08:21:00,08:21:00,26316,3,0,0,0.8252
3377,08:23:00,08:23:00,6907,4,0,0,1.3703
3377,08:25:00,08:25:00,14984,5,0,0,1.8814
3377,08:27:00,08:27:00,6966,6,0,0,2.4307
3377,08:29:00,08:29:00,14986,7,0,0,3.0044
3377,08:30:00,08:30:00,6957,8,0,0,3.4725
3377,08:31:00,08:31:00,6995,9,0,0,3.7331
3377,08:32:00,08:32:00,6997,10,0,0,4.2576
3377,08:33:00,08:33:00,6900,11,0,0,4.4379
3377,08:35:00,08:35:00,42545,12,0,0,4.8572
3377,08:38:00,08:38:00,26326,13,0,0,4.8670
3377,08:41:00,08:41:00,39134,14,0,0,5.4413
3377,08:43:00,08:43:00,39133,15,0,0,5.7977
3377,08:44:00,08:44:00,39131,16,0,0,5.8951
3377,08:46:00,08:46:00,39130,17,0,0,6.0600
3378,08:35:00,08:35:00,38065,1,0,0,0.0000
3378,08:37:00,08:37:00,38064,2,0,0,0.4006
3378,08:41:00,08:41:00,26316,3,0,0,0.8252
3378,08:43:00,08:43:00,6907,4,0,0,1.3703
3378,08:45:00,08:45:00,14984,5,0,0,1.8814
3378,08:47:00,08:47:00,6966,6,0,0,2.4307
3378,08:49:00,08:49:00,14986,7,0,0,3.0044
3378,08:50:00,08:50:00,6957,8,0,0,3.4725
3378,08:51:00,08:51:00,6995,9,0,0,3.7331
3378,08:52:00,08:52:00,6997,10,0,0,4.2576
3378,08:53:00,08:53:00,6900,11,0,0,4.4379
3378,08:55:00,08:55:00,42545,12,0,0,4.8572
3378,08:58:00,08:58:00,26326,13,0,0,4.8670
3378,09:01:00,09:01:00,39134,14,0,0,5.4413
3378,09:03:00,09:03:00,39133,15,0,0,5.7977
3378,09:04:00,09:04:00,39131,16,0,0,5.8951
3378,09:06:00,09:06:00,39130,17,0,0,6.0600
3379,08:55:00,08:55:00,38065,1,0,0,0.0000
3379,08:57:00,08:57:00,38064,2,0,0,0.4006
3379,09:01:00,09:01:00,26316,3,0,0,0.8252
3379,09:03:00,09:03:00,6907,4,0,0,1.3703
3379,09:05:00,09:05:00,14984,5,0,0,1.8814
3379,09:07:00,09:07:00,6966,6,0,0,2.4307
3379,09:09:00,09:09:00,14986,7,0,0,3.0044
3379,09:10:00,09:10:00,6957,8,0,0,3.4725
3379,09:11:00,09:11:00,6995,9,0,0,3.7331
3379,09:12:00,09:12:00,6997,10,0,0,4.2576
3379,09:13:00,09:13:00,6900,11,0,0,4.4379
3379,09:15:00,09:15:00,42545,12,0,0,4.8572
3379,09:18:00,09:18:00,26326,13,0,0,4.8670
3379,09:21:00,09:21:00,39134,14,0,0,5.4413
3379,09:23:00,09:23:00,39133,15,0,0,5.7977
3379,09:24:00,09:24:00,39131,16,0,0,5.8951
3379,09:26:00,09:26:00,39130,17,0,0,6.0600
3380,09:15:00,09:15:00,38065,1,0,0,0.0000
3380,09:17:00,09:17:00,38064,2,0,0,0.4006
3380,09:21:00,09:21:00,26316,3,0,0,0.8252
3380,09:23:00,09:23:00,6907,4,0,0,1.3703
3380,09:25:00,09:25:00,14984,5,0,0,1.8814
3380,09:27:00,09:27:00,6966,6,0,0,2.4307
3380,09:29:00,09:29:00,14986,7,0,0,3.0044
3380,09:30:00,09:30:00,6957,8,0,0,3.4725
3380,09:31:00,09:31:00,6995,9,0,0,3.7331
3380,09:32:00,09:32:00,6997,10,0,0,4.2576
3380,09:33:00,09:33:00,6900,11,0,0,4.4379
3380,09:35:00,09:35:00,42545,12,0,0,4.8572
3380,09:38:00,09:38:00,26326,13,0,0,4.8670
3380,09:41:00,09:41:00,39134,14,0,0,5.4413
3380,09:43:00,09:43:00,39133,15,0,0,5.7977
3380,09:44:00,09:44:00,39131,16,0,0,5.8951
3380,09:46:00,09:46:00,39130,17,0,0,6.0600
3381,09:35:00,09:35:00,38065,1,0,0,0.0000
3381,09:37:00,09:37:00,38064,2,0,0,0.4006
3381,09:41:00,09:41:00,26316,3,0,0,0.8252
3381,09:43:00,09:43:00,6907,4,0,0,1.3703
3381,09:45:00,09:45:00,14984,5,0,0,1.8814
3381,09:47:00,09:47:00,6966,6,0,0,2.4307
3381,09:49:00,09:49:00,14986,7,0,0,3.0044
3381,09:50:00,09:50:00,6957,8,0,0,3.4725
3381,09:51:00,09:51:00,6995,9,0,0,3.7331
3381,09:52:00,09:52:00,6997,10,0,0,4.2576
3381,09:53:00,09:53:00,6900,11,0,0,4.4379
3381,09:55:00,09:55:00,42545,12,0,0,4.8572
3381,09:58:00,09:58:00,26326,13,0,0,4.8670
3381,10:01:00,10:01:00,39134,14,0,0,5.4413
3381,10:03:00,10:03:00,39133,15,0,0,5.7977
3381,10:04:00,10:04:00,39131,16,0,0,5.8951
3381,10:06:00,10:06:00,39130,17,0,0,6.0600
3382,09:55:00,09:55:00,38065,1,0,0,0.0000
3382,09:57:00,09:57:00,38064,2,0,0,0.4006
3382,10:01:00,10:01:00,26316,3,0,0,0.8252
3382,10:03:00,10:03:00,6907,4,0,0,1.3703
3382,10:05:00,10:05:00,14984,5,0,0,1.8814
3382,10:07:00,10:07:00,6966,6,0,0,2.4307
3382,10:09:00,10:09:00,14986,7,0,0,3.0044
3382,10:10:00,10:10:00,6957,8,0,0,3.4725
3382,10:11:00,10:11:00,6995,9,0,0,3.7331
3382,10:12:00,10:12:00,6997,10,0,0,4.2576
3382,10:13:00,10:13:00,6900,11,0,0,4.4379
3382,10:15:00,10:15:00,42545,12,0,0,4.8572
3382,10:18:00,10:18:00,26326,13,0,0,4.8670
3382,10:21:00,10:21:00,39134,14,0,0,5.4413
3382,10:23:00,10:23:00,39133,15,0,0,5.7977
3382,10:24:00,10:24:00,39131,16,0,0,5.8951
3382,10:26:00,10:26:00,39130,17,0,0,6.0600
3383,10:15:00,10:15:00,38065,1,0,0,0.0000
3383,10:17:00,10:17:00,38064,2,0,0,0.4006
3383,10:21:00,10:21:00,26316,3,0,0,0.8252
3383,10:23:00,10:23:00,6907,4,0,0,1.3703
3383,10:25:00,10:25:00,14984,5,0,0,1.8814
